id,reqid,req_type,batchid,oldbatchid,meter_number,meter_model,meter_manufacturer,manufacture_year,meter_type,meter_rating,v_rating,meter_classification,kct,supplier,meter_category,meter_type_id,ecmi_exported,deployed,addedby,supplierstoreid,supplierstoretype,currentstorelevel,storeowner,owner_type,audit_validated_by,audit_validated_date,billing_validated_by,billing_validated_date,rev_validated_by,rev_validated_date,status,deleted_at,created_at,updated_at
91099,0,0,371,371,45065256682,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-29 11:31:58,2022-03-09 15:05:59
91100,0,0,371,371,45065174794,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:31:58,2022-02-23 10:31:13
91101,0,0,371,371,45065174851,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:31:59,2022-02-23 10:31:13
91102,0,0,371,371,45065174828,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:31:59,2022-02-23 10:31:13
91103,0,0,371,371,45065174836,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:31:59,2022-02-23 10:31:13
91104,0,0,371,371,45065174877,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:00,2022-02-23 10:31:13
91105,0,0,371,371,45065174869,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:00,2022-02-23 10:31:13
91106,0,0,371,371,45065174802,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:01,2022-02-23 10:31:13
91107,0,0,371,371,45065174885,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:01,2022-02-23 10:31:13
91108,0,0,371,371,45065174810,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:02,2022-02-23 15:20:01
